iter	Passed	Remaining
789	1217	323
790	1218	321
791	1219	320
792	1220	318
793	1221	316
794	1222	315
795	1222	313
796	1224	311
797	1228	310
798	1229	309
799	1231	307
800	1232	306
801	1233	304
802	1234	302
803	1234	301
804	1236	299
805	1236	297
806	1240	296
807	1242	295
808	1243	293
809	1244	291
810	1245	290
811	1246	288
812	1247	286
813	1247	285
814	1248	283
815	1250	281
816	1251	280
817	1252	278
818	1255	277
819	1256	275
820	1258	274
821	1259	272
822	1261	271
823	1265	270
824	1266	268
825	1272	267
826	1273	266
827	1274	264
828	1275	263
829	1276	261
830	1277	259
831	1278	258
832	1279	256
833	1280	254
834	1281	253
835	1281	251
836	1284	250
837	1286	248
838	1287	246
839	1288	245
840	1289	243
841	1290	242
842	1292	240
843	1293	239
844	1294	237
845	1295	235
846	1295	234
847	1296	232
848	1299	231
849	1302	229
850	1304	228
851	1305	226
852	1307	225
853	1309	223
854	1310	222
855	1316	221
856	1318	219
857	1319	218
858	1320	216
859	1322	215
860	1322	213
861	1323	211
862	1324	210
863	1325	208
864	1326	207
865	1327	205
866	1331	204
867	1333	202
868	1334	201
869	1335	199
870	1336	197
871	1337	196
872	1338	194
873	1339	193
874	1340	191
875	1341	189
876	1342	188
877	1346	187
878	1347	185
879	1349	183
880	1350	182
881	1351	180
882	1352	179
883	1352	177
884	1353	175
885	1354	174
886	1355	172
887	1356	171
888	1358	169
889	1359	168
890	1360	166
891	1361	164
892	1363	163
893	1364	161
894	1365	160
895	1366	158
896	1367	157
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1372	149
902	1376	147
903	1378	146
904	1379	144
905	1380	143
906	1381	141
907	1382	140
908	1383	138
909	1384	136
910	1385	135
911	1385	133
912	1386	132
913	1387	130
914	1388	129
915	1390	127
916	1391	125
917	1392	124
918	1393	122
919	1394	121
920	1395	119
921	1396	118
922	1396	116
923	1397	114
924	1398	113
925	1399	111
926	1403	110
927	1404	108
928	1405	107
929	1406	105
930	1408	104
931	1409	102
932	1410	101
933	1410	99
934	1411	98
935	1412	96
936	1413	95
937	1414	93
938	1416	92
939	1418	90
940	1419	89
941	1421	87
942	1422	85
943	1423	84
944	1424	82
945	1425	81
946	1426	79
947	1429	78
948	1430	76
949	1432	75
950	1433	73
951	1435	72
952	1436	70
953	1436	69
954	1437	67
955	1438	66
956	1439	64
957	1440	63
958	1441	61
959	1444	60
960	1447	58
961	1448	57
962	1449	55
963	1450	54
